Bellman temps,Bellman nodes évalués,Bell taille max du tas,Dijkstra temps,Dijkstra nodes évalués,Dijkstra taille max du tas,Astar temps,Astar nodes évalués,Astar taille max du tas
9482,0,0,60,7477,186,25,2996,196
8759,0,0,11,5788,102,11,3199,194
10087,0,0,531,112698,342,390,71355,451
8796,0,0,421,54936,390,244,35252,443
9107,0,0,280,37663,278,10,2680,170
9795,0,0,524,112872,468,63,21659,349
12013,0,0,301,53397,370,320,47772,497
8041,0,0,463,114972,356,111,18953,433
8792,0,0,299,40843,325,222,25067,552
9523,0,0,277,37733,311,126,17110,358
9358,0,0,467,127783,312,589,79557,551
7570,0,0,102,40260,209,12,5281,168
8683,0,0,213,23097,315,14,4064,226
9459,0,0,201,32937,240,73,13609,328
8973,0,0,514,131115,352,483,83077,552
9754,0,0,322,84587,268,411,57824,576
9361,0,0,290,66249,271,380,44691,462
10562,0,0,199,38499,249,110,21293,389
10966,0,0,205,59915,418,61,14444,357
7093,0,0,315,91700,318,89,21346,436
9039,0,0,34,5597,163,6,1233,124
7268,0,0,170,68715,219,36,11107,354
8782,0,0,69,35405,204,38,13855,218
8161,0,0,345,96351,320,188,34876,568
9270,0,0,501,107985,353,406,66057,406
11949,0,0,502,104140,375,20,7524,161
10091,0,0,290,69833,288,350,49619,489
7742,0,0,91,29952,238,18,5855,184
8928,0,0,383,84448,312,325,54610,368
11814,0,0,66,33481,231,32,13221,242
12427,0,0,11,4898,156,2,1035,64
9146,0,0,472,100749,377,265,49852,282
8057,0,0,103,32791,249,82,13066,404
8711,0,0,171,60213,287,31,13235,162
9777,0,0,33,9028,171,17,3419,259
8899,0,0,274,85989,307,143,29078,436
9021,0,0,231,64865,366,106,23748,419
7297,0,0,103,37245,219,7,3332,129
10716,0,0,58,19625,176,49,10403,387
6525,0,0,186,55787,356,45,11238,270
7989,0,0,195,70950,320,31,13574,209
7319,0,0,502,121641,389,207,34930,603
10947,0,0,429,112983,311,528,78910,511
8491,0,0,186,55021,325,83,20048,333
7154,0,0,12,6291,146,6,2199,60
9312,0,0,305,51005,320,322,48811,449
7875,0,0,420,112242,347,237,34930,1047
7065,0,0,90,43937,218,38,16077,230
8242,0,0,18,6456,137,2,723,52
10930,0,0,444,110192,370,501,72177,588
